country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day,partial_lockdown,flights_china,school_closure
Italy,2/21/20,20,1,17,1,1,-16,21,0
Italy,2/22/20,62,2,42,1,2,-15,22,1
Italy,2/23/20,155,3,93,1,3,-14,23,2
Italy,2/24/20,229,7,74,4,4,-13,24,3
Italy,2/25/20,322,10,93,3,5,-12,25,4
Italy,2/26/20,453,12,131,2,6,-11,26,5
Italy,2/27/20,655,17,202,5,7,-10,27,6
Italy,2/28/20,888,21,233,4,8,-9,28,7
Italy,2/29/20,1128,29,240,8,9,-8,29,8
Italy,3/1/20,1694,34,566,5,10,-7,30,9
Italy,3/2/20,2036,52,342,18,11,-6,31,10
Italy,3/3/20,2502,79,466,27,12,-5,32,11
Italy,3/4/20,3089,107,587,28,13,-4,33,12
Italy,3/5/20,3858,148,769,41,14,-3,34,13
Italy,3/6/20,4636,197,778,49,15,-2,35,14
Italy,3/7/20,5883,233,1247,36,16,-1,36,15
Italy,3/8/20,7375,366,1492,133,17,0,37,16
Italy,3/9/20,9172,463,1797,97,18,1,38,17
Italy,3/10/20,10149,631,977,168,19,2,39,18
Italy,3/11/20,12462,827,2313,196,20,3,40,19
Italy,3/12/20,12462,827,0,0,21,4,41,20
Italy,3/13/20,17660,1266,5198,439,22,5,42,21
Italy,3/14/20,21157,1441,3497,175,23,6,43,22
Italy,3/15/20,24747,1809,3590,368,24,7,44,23
Italy,3/16/20,27980,2158,3233,349,25,8,45,24
Italy,3/17/20,31506,2503,3526,345,26,9,46,25
Italy,3/18/20,35713,2978,4207,475,27,10,47,26
Italy,3/19/20,41035,3405,5322,427,28,11,48,27
Italy,3/20/20,47021,4032,5986,627,29,12,49,28
Italy,3/21/20,53578,4825,6557,793,30,13,50,29
Italy,3/22/20,59138,5476,5560,651,31,14,51,30
Italy,3/23/20,63927,6077,4789,601,32,15,52,31
Italy,3/24/20,69176,6820,5249,743,33,16,53,32
Italy,3/25/20,74386,7503,5210,683,34,17,54,33
Italy,3/26/20,80589,8215,6203,712,35,18,55,34
Italy,3/27/20,86498,9134,5909,919,36,19,56,35
Italy,3/28/20,92472,10023,5974,889,37,20,57,36
Italy,3/29/20,97689,10779,5217,756,38,21,58,37
Italy,3/30/20,101739,11591,4050,812,39,22,59,38
Italy,3/31/20,105792,12428,4053,837,40,23,60,39
Italy,4/1/20,110574,13155,4782,727,41,24,61,40
Italy,4/2/20,115242,13915,4668,760,42,25,62,41
Italy,4/3/20,119827,14681,4585,766,43,26,63,42
Italy,4/4/20,124632,15362,4805,681,44,27,64,43
Italy,4/5/20,128948,15887,4316,525,45,28,65,44
Italy,4/6/20,132547,16523,3599,636,46,29,66,45
Italy,4/7/20,135586,17127,3039,604,47,30,67,46
Italy,4/8/20,139422,17669,3836,542,48,31,68,47
Italy,4/9/20,143626,18279,4204,610,49,32,69,48
Italy,4/10/20,147577,18849,3951,570,50,33,70,49
Italy,4/11/20,152271,19468,4694,619,51,34,71,50
Italy,4/12/20,156363,19899,4092,431,52,35,72,51
Italy,4/13/20,159516,20465,3153,566,53,36,73,52
Italy,4/14/20,162488,21067,2972,602,54,37,74,53
Italy,4/15/20,165155,21645,2667,578,55,38,75,54
Italy,4/16/20,168941,22170,3786,525,56,39,76,55
Italy,4/17/20,172434,22745,3493,575,57,40,77,56
Italy,4/18/20,175925,23227,3491,482,58,41,78,57
Italy,4/19/20,178972,23660,3047,433,59,42,79,58
Italy,4/20/20,181228,24114,2256,454,60,43,80,59
Italy,4/21/20,183957,24648,2729,534,61,44,81,60
Italy,4/22/20,187327,25085,3370,437,62,45,82,61
Italy,4/23/20,189973,25549,2646,464,63,46,83,62
Italy,4/24/20,192994,25969,3021,420,64,47,84,63
Italy,4/25/20,195351,26384,2357,415,65,48,85,64
Italy,4/26/20,197675,26644,2324,260,66,49,86,65
Italy,4/27/20,199414,26977,1739,333,67,50,87,66
Italy,4/28/20,201505,27359,2091,382,68,51,88,67
Italy,4/29/20,203591,27682,2086,323,69,52,89,68
Italy,4/30/20,205463,27967,1872,285,70,53,90,69
Italy,5/1/20,207428,28236,1965,269,71,54,91,70
Italy,5/2/20,209328,28710,1900,474,72,55,92,71
Italy,5/3/20,210717,28884,1389,174,73,56,93,72
Italy,5/4/20,211938,29079,1221,195,74,57,94,73
Italy,5/5/20,213013,29315,1075,236,75,58,95,74
"Korea, South",2/6/20,23,0,4,0,1,-45,-33,-21
"Korea, South",2/7/20,24,0,1,0,2,-44,-32,-20
"Korea, South",2/8/20,24,0,0,0,3,-43,-31,-19
"Korea, South",2/9/20,25,0,1,0,4,-42,-30,-18
"Korea, South",2/10/20,27,0,2,0,5,-41,-29,-17
"Korea, South",2/11/20,28,0,1,0,6,-40,-28,-16
"Korea, South",2/12/20,28,0,0,0,7,-39,-27,-15
"Korea, South",2/13/20,28,0,0,0,8,-38,-26,-14
"Korea, South",2/14/20,28,0,0,0,9,-37,-25,-13
"Korea, South",2/15/20,28,0,0,0,10,-36,-24,-12
"Korea, South",2/16/20,29,0,1,0,11,-35,-23,-11
"Korea, South",2/17/20,30,0,1,0,12,-34,-22,-10
"Korea, South",2/18/20,31,0,1,0,13,-33,-21,-9
"Korea, South",2/19/20,31,0,0,0,14,-32,-20,-8
"Korea, South",2/20/20,104,1,73,1,15,-31,-19,-7
"Korea, South",2/21/20,204,2,100,1,16,-30,-18,-6
"Korea, South",2/22/20,433,2,229,0,17,-29,-17,-5
"Korea, South",2/23/20,602,6,169,4,18,-28,-16,-4
"Korea, South",2/24/20,833,8,231,2,19,-27,-15,-3
"Korea, South",2/25/20,977,10,144,2,20,-26,-14,-2
"Korea, South",2/26/20,1261,12,284,2,21,-25,-13,-1
"Korea, South",2/27/20,1766,13,505,1,22,-24,-12,0
"Korea, South",2/28/20,2337,13,571,0,23,-23,-11,1
"Korea, South",2/29/20,3150,16,813,3,24,-22,-10,2
"Korea, South",3/1/20,3736,17,586,1,25,-21,-9,3
"Korea, South",3/2/20,4335,28,599,11,26,-20,-8,4
"Korea, South",3/3/20,5186,28,851,0,27,-19,-7,5
"Korea, South",3/4/20,5621,35,435,7,28,-18,-6,6
"Korea, South",3/5/20,6088,35,467,0,29,-17,-5,7
"Korea, South",3/6/20,6593,42,505,7,30,-16,-4,8
"Korea, South",3/7/20,7041,44,448,2,31,-15,-3,9
"Korea, South",3/8/20,7314,50,273,6,32,-14,-2,10
"Korea, South",3/9/20,7478,53,164,3,33,-13,-1,11
"Korea, South",3/10/20,7513,54,35,1,34,-12,0,12
"Korea, South",3/11/20,7755,60,242,6,35,-11,1,13
"Korea, South",3/12/20,7869,66,114,6,36,-10,2,14
"Korea, South",3/13/20,7979,66,110,0,37,-9,3,15
"Korea, South",3/14/20,8086,72,107,6,38,-8,4,16
"Korea, South",3/15/20,8162,75,76,3,39,-7,5,17
"Korea, South",3/16/20,8236,75,74,0,40,-6,6,18
"Korea, South",3/17/20,8320,81,84,6,41,-5,7,19
"Korea, South",3/18/20,8413,84,93,3,42,-4,8,20
"Korea, South",3/19/20,8565,91,152,7,43,-3,9,21
"Korea, South",3/20/20,8652,94,87,3,44,-2,10,22
"Korea, South",3/21/20,8799,102,147,8,45,-1,11,23
"Korea, South",3/22/20,8961,111,162,9,46,0,12,24
"Korea, South",3/23/20,8961,111,0,0,47,1,13,25
"Korea, South",3/24/20,9037,120,76,9,48,2,14,26
"Korea, South",3/25/20,9137,126,100,6,49,3,15,27
"Korea, South",3/26/20,9241,131,104,5,50,4,16,28
"Korea, South",3/27/20,9332,139,91,8,51,5,17,29
"Korea, South",3/28/20,9478,144,146,5,52,6,18,30
"Korea, South",3/29/20,9583,152,105,8,53,7,19,31
"Korea, South",3/30/20,9661,158,78,6,54,8,20,32
"Korea, South",3/31/20,9786,162,125,4,55,9,21,33
"Korea, South",4/1/20,9887,165,101,3,56,10,22,34
"Korea, South",4/2/20,9976,169,89,4,57,11,23,35
"Korea, South",4/3/20,10062,174,86,5,58,12,24,36
"Korea, South",4/4/20,10156,177,94,3,59,13,25,37
"Korea, South",4/5/20,10237,183,81,6,60,14,26,38
"Korea, South",4/6/20,10284,186,47,3,61,15,27,39
"Korea, South",4/7/20,10331,192,47,6,62,16,28,40
"Korea, South",4/8/20,10384,200,53,8,63,17,29,41
"Korea, South",4/9/20,10423,204,39,4,64,18,30,42
"Korea, South",4/10/20,10450,208,27,4,65,19,31,43
"Korea, South",4/11/20,10480,211,30,3,66,20,32,44
"Korea, South",4/12/20,10512,214,32,3,67,21,33,45
"Korea, South",4/13/20,10537,217,25,3,68,22,34,46
"Korea, South",4/14/20,10564,222,27,5,69,23,35,47
"Korea, South",4/15/20,10591,225,27,3,70,24,36,48
"Korea, South",4/16/20,10613,229,22,4,71,25,37,49
"Korea, South",4/17/20,10635,230,22,1,72,26,38,50
"Korea, South",4/18/20,10653,232,18,2,73,27,39,51
"Korea, South",4/19/20,10661,234,8,2,74,28,40,52
"Korea, South",4/20/20,10674,236,13,2,75,29,41,53
"Korea, South",4/21/20,10683,237,9,1,76,30,42,54
"Korea, South",4/22/20,10694,238,11,1,77,31,43,55
"Korea, South",4/23/20,10708,240,14,2,78,32,44,56
"Korea, South",4/24/20,10718,240,10,0,79,33,45,57
"Korea, South",4/25/20,10728,242,10,2,80,34,46,58
"Korea, South",4/26/20,10738,243,10,1,81,35,47,59
"Korea, South",4/27/20,10752,244,14,1,82,36,48,60
"Korea, South",4/28/20,10761,246,9,2,83,37,49,61
"Korea, South",4/29/20,10765,247,4,1,84,38,50,62
"Korea, South",4/30/20,10774,248,9,1,85,39,51,63
"Korea, South",5/1/20,10780,250,6,2,86,40,52,64
"Korea, South",5/2/20,10793,250,13,0,87,41,53,65
"Korea, South",5/3/20,10801,252,8,2,88,42,54,66
"Korea, South",5/4/20,10804,254,3,2,89,43,55,67
"Korea, South",5/5/20,10806,255,2,1,90,44,56,68
